pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
1,3,1,"","pck_zone","pck_zone_cod","=","F002-P-01","20210608150009","20210608150009","939161","939161"
11,6,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141037","20230608141037","938673","938673"
12,6,2,"AND","","","","","20230608141038","20230608141038","938673","938673"
13,6,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_D001_ZONE","20230608141038","20230608141038","938673","938673"
14,13,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141104","20230608141104","938673","938673"
15,13,2,"AND","","","","","20230608141104","20230608141104","938673","938673"
16,13,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_E001_ZONE","20230608141104","20230608141104","938673","938673"
17,20,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608141213","20230608141213","938673","938673"
18,20,2,"AND","","","","","20230608141213","20230608141213","938673","938673"
19,20,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_F001_ZONE","20230608141213","20230608141213","938673","938673"
20,7,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141252","20230608141252","938673","938673"
21,7,2,"AND","","","","","20230608141252","20230608141252","938673","938673"
22,7,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_D001_ZONE","20230608141252","20230608141252","938673","938673"
23,15,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141328","20230608141328","938673","938673"
24,15,2,"AND","","","","","20230608141328","20230608141328","938673","938673"
25,15,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_E001_ZONE","20230608141328","20230608141328","938673","938673"
26,22,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608141356","20230608141356","938673","938673"
27,22,2,"AND","","","","","20230608141356","20230608141356","938673","938673"
28,22,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_F001_ZONE","20230608141356","20230608141356","938673","938673"
29,4,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141424","20230608141424","938673","938673"
30,4,2,"AND","","","","","20230608141424","20230608141424","938673","938673"
31,4,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_D001_ZONE","20230608141424","20230608141424","938673","938673"
32,14,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141451","20230608141451","938673","938673"
33,14,2,"AND","","","","","20230608141451","20230608141451","938673","938673"
34,14,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_E001_ZONE","20230608141451","20230608141451","938673","938673"
35,21,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608141537","20230608141537","938673","938673"
36,21,2,"AND","","","","","20230608141537","20230608141537","938673","938673"
37,21,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_F001_ZONE","20230608141537","20230608141537","938673","938673"
38,10,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141711","20230608141711","938673","938673"
39,10,2,"AND","","","","","20230608141711","20230608141711","938673","938673"
40,10,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_D001_ZONE","20230608141711","20230608141711","938673","938673"
41,16,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141801","20230608141801","938673","938673"
42,16,2,"AND","","","","","20230608141801","20230608141801","938673","938673"
43,16,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_E001_ZONE","20230608141801","20230608141801","938673","938673"
44,23,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608141837","20230608141837","938673","938673"
45,23,2,"AND","","","","","20230608141837","20230608141837","938673","938673"
46,23,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_F001_ZONE","20230608141837","20230608141837","938673","938673"
47,8,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141936","20230608141936","938673","938673"
48,8,2,"AND","","","","","20230608141936","20230608141936","938673","938673"
49,8,3,"","pcklst","pcklst_rule_id","=","6","20230608141936","20230608141936","938673","938673"
50,8,4,"AND","","","","","20230608141936","20230608141936","938673","938673"
51,8,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_D001_ZONE","20230608141936","20230608141936","938673","938673"
52,17,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141959","20230608141959","938673","938673"
53,17,2,"AND","","","","","20230608141959","20230608141959","938673","938673"
54,17,3,"","pcklst","pcklst_rule_id","=","13","20230608141959","20230608141959","938673","938673"
55,17,4,"AND","","","","","20230608141959","20230608141959","938673","938673"
56,17,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_E001_ZONE","20230608141959","20230608141959","938673","938673"
57,24,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608142120","20230608142120","938673","938673"
58,24,2,"AND","","","","","20230608142120","20230608142120","938673","938673"
59,24,3,"","pcklst","pcklst_rule_id","=","20","20230608142120","20230608142120","938673","938673"
60,24,4,"AND","","","","","20230608142120","20230608142120","938673","938673"
61,24,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_F001_ZONE","20230608142120","20230608142120","938673","938673"
62,5,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608142322","20230608142322","938673","938673"
63,5,2,"AND","","","","","20230608142322","20230608142322","938673","938673"
64,5,3,"","pcklst","pcklst_rule_id","=","4","20230608142322","20230608142322","938673","938673"
65,5,4,"AND","","","","","20230608142323","20230608142323","938673","938673"
66,5,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_D001_ZONE","20230608142323","20230608142323","938673","938673"
67,18,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608142830","20230608142830","938673","938673"
68,18,2,"AND","","","","","20230608142830","20230608142830","938673","938673"
69,18,3,"","pcklst","pcklst_rule_id","=","14","20230608142830","20230608142830","938673","938673"
70,18,4,"AND","","","","","20230608142830","20230608142830","938673","938673"
71,18,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_E001_ZONE","20230608142830","20230608142830","938673","938673"
72,25,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608142856","20230608142856","938673","938673"
73,25,2,"AND","","","","","20230608142856","20230608142856","938673","938673"
74,25,3,"","pcklst","pcklst_rule_id","=","21","20230608142856","20230608142856","938673","938673"
75,25,4,"AND","","","","","20230608142856","20230608142856","938673","938673"
76,25,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_F001_ZONE","20230608142856","20230608142856","938673","938673"
77,9,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608143010","20230608143010","938673","938673"
78,9,2,"AND","","","","","20230608143010","20230608143010","938673","938673"
79,9,3,"","pcklst","pcklst_rule_id","=","7","20230608143010","20230608143010","938673","938673"
80,9,4,"AND","","","","","20230608143010","20230608143010","938673","938673"
81,9,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_D001_ZONE","20230608143010","20230608143010","938673","938673"
82,19,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608143049","20230608143049","938673","938673"
83,19,2,"AND","","","","","20230608143049","20230608143049","938673","938673"
84,19,3,"","pcklst","pcklst_rule_id","=","15","20230608143049","20230608143049","938673","938673"
85,19,4,"AND","","","","","20230608143049","20230608143049","938673","938673"
86,19,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_E001_ZONE","20230608143049","20230608143049","938673","938673"
87,26,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608143109","20230608143109","938673","938673"
88,26,2,"AND","","","","","20230608143109","20230608143109","938673","938673"
89,26,3,"","pcklst","pcklst_rule_id","=","22","20230608143109","20230608143109","938673","938673"
90,26,4,"AND","","","","","20230608143109","20230608143109","938673","938673"
91,26,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_3S_F001_ZONE","20230608143109","20230608143109","938673","938673"
93,1,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230217163550","20230217163550","939370","939370"
94,11,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230217163746","20230217163746","939370","939370"
95,12,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230217164142","20230217164142","939370","939370"
96,27,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230720143546","20230720143546","938673","938673"
97,28,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230720143546","20230720143546","938673","938673"
98,29,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230720143546","20230720143546","938673","938673"
99,30,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230720143552","20230720143552","938673","938673"
100,31,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230720143552","20230720143552","938673","938673"
101,32,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230720143552","20230720143552","938673","938673"
102,33,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230720143556","20230720143556","938673","938673"
103,34,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230720143556","20230720143556","938673","938673"
104,35,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230720143556","20230720143556","938673","938673"
105,36,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230720143559","20230720143559","938673","938673"
106,37,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230720143559","20230720143559","938673","938673"
107,38,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230720143559","20230720143559","938673","938673"
